seed,nx,ny,nz,sent_tail_radius,repair_tail_frac,W_decay,BSI,RFC,RLI,SPI,D_q50,D_q95,sent_q95
4,48,48,3,14,0.75,0.002,1.03702,0.425229,0,0.108696,4.9291,14.6278,0.141587
1,48,48,3,14,0.8,0,1.0012,0,0,0.0869565,4.9669,14.7508,0.124932
2,48,48,3,14,0.8,0,0.995591,0.747608,0,0.137681,4.96606,14.7444,0.124
3,48,48,3,14,0.8,0,0.999615,0.840518,0,0.130435,4.95258,14.7014,0.125556
1,48,48,3,2,0.65,0.0002,1.02142,0.871247,0,0.0434783,1.62134,9.41811,0.185361
4,48,48,3,14,0.8,0,0.997901,0.700485,0,0.130435,4.94047,14.6796,0.126601
1,48,48,3,14,0.8,0.0001,0.997723,0.55938,0,0.0289855,4.96413,14.7475,0.126045
2,48,48,3,14,0.8,0.0001,0.996278,0.655762,0,0.0652174,4.95876,14.715,0.124712
3,48,48,3,14,0.8,0.0001,1.00177,0.461435,0,0.0724638,4.95293,14.6858,0.124766
4,48,48,3,14,0.8,0.0001,0.996512,0.683603,0,0.268116,4.95179,14.6983,0.126545
1,48,48,3,14,0.8,0.0002,1.0008,0,0,0.188406,4.94702,14.7134,0.12614
2,48,48,3,14,0.8,0.0002,1.00038,0.676817,0,0.0362319,4.95488,14.72,0.125681
3,48,48,3,14,0.8,0.0002,0.997959,0,0,0.144928,4.95757,14.7103,0.125883
4,48,48,3,14,0.8,0.0002,0.997241,0.307669,0,0.0507246,4.9351,14.6622,0.127623
1,48,48,3,14,0.8,0.0004,1.00321,0.100351,0,0.0362319,4.95064,14.7207,0.1284
2,48,48,3,2,0.65,0.0002,1.02484,0.749712,0,0.057971,1.74014,9.25131,0.185467
2,48,48,3,14,0.8,0.0004,1.00574,0.687436,0,0.0434783,4.95016,14.7091,0.126737
3,48,48,3,14,0.8,0.0004,0.999608,0.944662,0,0.0869565,4.95261,14.6912,0.126117
4,48,48,3,14,0.8,0.0004,1.00222,0.582631,0,0.0797101,4.94023,14.6724,0.127821
1,48,48,3,14,0.8,0.0006,1.00577,0.57065,0,0.0797101,4.9405,14.7049,0.128997
2,48,48,3,14,0.8,0.0006,1.00348,0.431229,0,0.108696,4.94878,14.7019,0.125687
3,48,48,3,14,0.8,0.0006,1.00599,0.458353,0,0.108696,4.95218,14.6962,0.128225
4,48,48,3,14,0.8,0.0006,1.00251,0.249308,0,0.137681,4.93222,14.6568,0.127633
1,48,48,3,14,0.8,0.0008,1.01133,0.622126,0,0.0724638,4.94142,14.712,0.129699
