sent_tail_radius,repair_tail_frac,W_decay
10,0.87,-0.1
10,0.87,-0.01
10,0.87,-0.001
10,0.87,-0.0001
10,0.87,0.0
10,0.87,0.0001
10,0.87,0.001
10,0.87,0.01
10,0.87,0.1
10,0.87,1.0
10,0.88,-1.0
10,0.88,-0.1
10,0.88,-0.01
10,0.88,-0.001
10,0.88,-0.0001
10,0.88,0.0
10,0.88,0.0001
10,0.88,0.001
10,0.88,0.01
10,0.88,0.1
10,0.88,1.0
10,0.89,-1.0
10,0.89,-0.1
10,0.89,-0.01
10,0.89,-0.001
10,0.89,-0.0001
10,0.89,0.0
10,0.89,0.0001
10,0.89,0.001
10,0.89,0.01
10,0.89,0.1
10,0.89,1.0
10,0.9,-1.0
10,0.9,-0.1
10,0.9,-0.01
10,0.9,-0.001
10,0.9,-0.0001
10,0.9,0.0
10,0.9,0.0001
10,0.9,0.001
10,0.9,0.01
10,0.9,0.1
10,0.9,1.0
