sent_tail_radius,repair_tail_frac,W_decay
1,0.545,0.0009
1,0.545,0.001
1,0.545,0.0011
1,0.545,0.0012
1,0.545,0.00125
1,0.545,0.0015
1,0.545,0.0018
1,0.545,0.002
1,0.545,0.0022
1,0.545,0.0025
1,0.545,0.003
1,0.55,0.0001
1,0.55,0.00015
1,0.55,0.00018
1,0.55,0.0002
1,0.55,0.00022
1,0.55,0.00025
1,0.55,0.0003
1,0.55,0.0004
1,0.55,0.00045
1,0.55,0.0005
1,0.55,0.00054
1,0.55,0.0006
1,0.55,0.00066
1,0.55,0.00072
1,0.55,0.00075
1,0.55,0.0008
1,0.55,0.00088
1,0.55,0.0009
1,0.55,0.001
1,0.55,0.0011
1,0.55,0.0012
1,0.55,0.00125
1,0.55,0.0015
1,0.55,0.0018
1,0.55,0.002
1,0.55,0.0022
1,0.55,0.0025
1,0.55,0.003
1,0.555,0.0001
1,0.555,0.00015
1,0.555,0.00018
1,0.555,0.0002
1,0.555,0.00022
1,0.555,0.00025
1,0.555,0.0003
1,0.555,0.0004
1,0.555,0.00045
1,0.555,0.0005
1,0.555,0.00054
1,0.555,0.0006
1,0.555,0.00066
1,0.555,0.00072
1,0.555,0.00075
1,0.555,0.0008
1,0.555,0.00088
1,0.555,0.0009
1,0.555,0.001
1,0.555,0.0011
1,0.555,0.0012
1,0.555,0.00125
1,0.555,0.0015
1,0.555,0.0018
1,0.555,0.002
1,0.555,0.0022
1,0.555,0.0025
1,0.555,0.003
1,0.56,0.0001
1,0.56,0.00015
1,0.56,0.00018
1,0.56,0.0002
1,0.56,0.00022
1,0.56,0.00025
1,0.56,0.0003
1,0.56,0.0004
1,0.56,0.00045
1,0.56,0.0005
1,0.56,0.00054
1,0.56,0.0006
1,0.56,0.00066
1,0.56,0.00072
1,0.56,0.00075
1,0.56,0.0008
1,0.56,0.00088
1,0.56,0.0009
1,0.56,0.001
1,0.56,0.0011
1,0.56,0.0012
1,0.56,0.00125
1,0.56,0.0015
1,0.56,0.0018
1,0.56,0.002
1,0.56,0.0022
1,0.56,0.0025
1,0.56,0.003
1,0.57,0.0001
1,0.57,0.00015
1,0.57,0.00018
1,0.57,0.0002
1,0.57,0.00022
1,0.57,0.00025
1,0.57,0.0003
1,0.57,0.0004
1,0.57,0.00045
1,0.57,0.0005
1,0.57,0.00054
1,0.57,0.0006
1,0.57,0.00066
1,0.57,0.00072
1,0.57,0.00075
1,0.57,0.0008
1,0.57,0.00088
1,0.57,0.0009
1,0.57,0.001
1,0.57,0.0011
1,0.57,0.0012
1,0.57,0.00125
1,0.57,0.0015
1,0.57,0.0018
1,0.57,0.002
1,0.57,0.0022
1,0.57,0.0025
1,0.57,0.003
1,0.58,5e-05
1,0.58,7.5e-05
1,0.58,9e-05
1,0.58,0.0001
1,0.58,0.00011
1,0.58,0.000125
1,0.58,0.00015
1,0.58,0.00018
1,0.58,0.0002
1,0.58,0.00022
1,0.58,0.00025
1,0.58,0.0003
1,0.58,0.00036
1,0.58,0.0004
1,0.58,0.00044
1,0.58,0.00045
1,0.58,0.0005
1,0.58,0.00054
1,0.58,0.0006
1,0.58,0.00066
1,0.58,0.00072
1,0.58,0.00075
1,0.58,0.0008
1,0.58,0.00088
1,0.58,0.0009
1,0.58,0.001
1,0.58,0.0011
1,0.58,0.0012
1,0.58,0.00125
1,0.58,0.0015
1,0.58,0.0018
1,0.58,0.002
1,0.58,0.0022
1,0.58,0.0025
1,0.58,0.003
1,0.59,5e-05
1,0.59,7.5e-05
1,0.59,9e-05
1,0.59,0.0001
1,0.59,0.00011
1,0.59,0.000125
1,0.59,0.00015
1,0.59,0.00018
1,0.59,0.0002
1,0.59,0.00022
1,0.59,0.00025
1,0.59,0.0003
1,0.59,0.00036
1,0.59,0.0004
1,0.59,0.00044
1,0.59,0.00045
1,0.59,0.0005
1,0.59,0.00054
1,0.59,0.0006
1,0.59,0.00066
1,0.59,0.00072
1,0.59,0.00075
1,0.59,0.0008
1,0.59,0.00088
1,0.59,0.0009
1,0.59,0.001
1,0.59,0.0011
1,0.59,0.0012
1,0.59,0.00125
1,0.59,0.0015
1,0.59,0.0018
1,0.59,0.002
1,0.59,0.0022
1,0.59,0.0025
1,0.59,0.003
1,0.595,5e-05
